	id	name	energy	duration_ms	track_href	album_image
0	0VjIjW4GlUZAMYd2vXMi3b	Blinding Lights	0.73	200040.0	https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b	https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
1	7qiZfU4dY1lWllzX7mPBI3	Shape of You	0.652	233713.0	https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3	https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
2	7qEHsqek33rTcFNT9PFqLf	Someone You Loved	0.405	182161.0	https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf	https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
3	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	0.479	158040.0	https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P	https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f
4	7MXVkk9YMctZqd1Srtv4MB	Starboy	0.587	230453.0	https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB	https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
5	4Dvkj6JhhA12EX05fT7y2e	As It Was	0.731	167303.0	https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e	https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
6	2N8m6CYs74qQO4mjVcXO30	Dance Monkey	0.587	209438.0	https://api.spotify.com/v1/tracks/2N8m6CYs74qQO4mjVcXO30	https://i.scdn.co/image/ab67616d0000b2738e8197111f9d57793a5e7eff
7	12VWzyPDBCc8fqeWCAfNwR	One Dance	0.625	173987.0	https://api.spotify.com/v1/tracks/12VWzyPDBCc8fqeWCAfNwR	https://i.scdn.co/image/ab67616d0000b27382e3e6968e73ec00a9f7861b
8	5PjdY0CKGZdEuoNab3yDmX	STAY (with Justin Bieber)	0.764	141806.0	https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX	https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960
9	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	0.52	218147.0	https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt	https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
10	1NtIMM4N0cFa1dNzN15chl	Believer	0.78	204347.0	https://api.spotify.com/v1/tracks/1NtIMM4N0cFa1dNzN15chl	https://i.scdn.co/image/ab67616d0000b2739cc9c2489710c634796e7f72
11	02MWAaffLxlfxAUY7c5dvx	Heat Waves	0.525	238805.0	https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx	https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea
12	0tgVpDi06FyKpA1z0VMD4v	Perfect	0.448	263400.0	https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v	https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
13	7crMiinWx373rNBZBaVske	Closer	0.541	245507.0	https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske	https://i.scdn.co/image/ab67616d0000b2737c3b8acbb943c8da17364f34
14	2QjOHCTQ1Jl3zawyYOpxh6	Sweater Weather	0.807	240400.0	https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6	https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
15	5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	0.557	211467.0	https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh	https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
16	0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	0.296	200186.0	https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4	https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
